 voltage current power speed energy distance temperature batteryOK batteryVoltage ms
2082 22.43 0.1 2.24 4.0 7697.79 989.57 0.0 1 0.0 340958
2083 22.43 0.11 2.52 3.99 7698.09 989.94 0.0 1 0.0 341078
2084 22.43 0.12 2.8 3.98 7698.47 990.5 0.0 1 0.0 341213
2085 22.43 0.12 2.8 3.99 7698.8 991.06 0.0 1 0.0 341333
2086 22.43 0.1 2.3 3.98 7699.08 991.43 0.0 1 0.0 341453
2087 22.43 0.09 2.19 3.97 7699.35 991.99 0.0 1 0.0 341573
2088 22.43 0.1 2.24 3.97 7699.61 992.37 0.0 1 0.0 341693
2089 22.43 0.12 2.8 3.95 7699.95 992.93 0.0 1 0.0 341814
2090 22.43 0.14 3.25 3.95 7700.35 993.3 0.0 1 0.0 341936
2091 22.43 0.13 3.03 3.95 7700.71 993.86 0.0 1 0.0 342056
2092 22.44 0.12 2.69 3.94 7701.08 994.42 0.0 1 0.0 342193
2093 22.44 0.12 2.69 3.93 7701.4 994.79 0.0 1 0.0 342313
2094 22.43 0.14 3.14 3.92 7701.78 995.35 0.0 1 0.0 342433
2095 22.43 0.15 3.37 3.91 7702.18 995.72 0.0 1 0.0 342553
2096 22.44 0.12 2.8 3.9 7702.52 996.28 0.0 1 0.0 342672
2097 22.44 0.14 3.14 3.9 7702.9 996.66 0.0 1 0.0 342792
2098 22.44 0.13 2.86 3.9 7703.24 997.22 0.0 1 0.0 342912
2099 22.44 0.13 2.92 3.9 7703.6 997.59 0.0 1 0.0 343035
2100 22.44 0.13 2.92 3.89 7703.95 998.15 0.0 1 0.0 343155
2101 22.44 0.11 2.52 3.9 7704.25 998.52 0.0 1 0.0 343274
2102 22.44 0.14 3.14 3.9 7704.63 999.08 0.0 1 0.0 343394
2103 22.44 0.12 2.69 3.89 7704.95 999.45 0.0 1 0.0 343514
2104 22.44 0.13 2.92 3.91 7705.3 1000.01 0.0 1 0.0 343634
2105 22.44 0.12 2.81 3.9 7705.63 1000.39 0.0 1 0.0 343754
2106 22.43 0.27 6.17 3.89 7706.37 1000.95 0.0 1 0.0 343874
2107 22.43 0.27 6.17 3.9 7707.11 1001.32 0.0 1 0.0 343994
2108 22.42 0.42 9.53 3.9 7708.42 1001.88 0.0 1 0.0 344131
2109 22.42 0.35 7.96 3.89 7709.38 1002.44 0.0 1 0.0 344251
2110 22.42 0.33 7.4 3.89 7710.26 1002.81 0.0 1 0.0 344371
2111 22.42 0.36 8.18 3.89 7711.39 1003.37 0.0 1 0.0 344509
2112 22.42 0.32 7.23 3.89 7712.26 1003.93 0.0 1 0.0 344629
2113 22.42 0.33 7.51 3.89 7713.16 1004.3 0.0 1 0.0 344749
2114 22.42 0.33 7.34 3.9 7714.04 1004.86 0.0 1 0.0 344869
2115 22.42 0.34 7.68 3.89 7714.96 1005.23 0.0 1 0.0 344989
2116 22.42 0.34 7.68 3.89 7715.89 1005.79 0.0 1 0.0 345109
2117 22.42 0.36 8.13 3.9 7716.89 1006.17 0.0 1 0.0 345232
2118 22.42 0.34 7.74 3.89 7717.81 1006.73 0.0 1 0.0 345352
2119 22.42 0.34 7.74 3.88 7718.74 1007.1 0.0 1 0.0 345472
2120 22.43 0.32 7.12 3.88 7719.6 1007.66 0.0 1 0.0 345592
2121 22.43 0.32 7.12 3.87 7720.45 1008.03 0.0 1 0.0 345712
2122 22.42 0.35 7.79 3.86 7721.39 1008.59 0.0 1 0.0 345833
2123 22.42 0.35 7.79 3.86 7722.33 1008.96 0.0 1 0.0 345952
2124 22.42 0.36 8.13 3.85 7723.31 1009.52 0.0 1 0.0 346072
2125 22.43 0.33 7.51 3.85 7724.21 1009.9 0.0 1 0.0 346192
2126 22.42 0.43 9.64 3.85 7725.38 1010.27 0.0 1 0.0 346315
2127 22.41 0.49 10.93 3.84 7726.69 1010.83 0.0 1 0.0 346435
2128 22.42 0.41 9.3 3.84 7727.81 1011.2 0.0 1 0.0 346555
2129 22.42 0.46 10.42 3.83 7729.06 1011.76 0.0 1 0.0 346675
2130 22.42 0.46 10.42 3.83 7730.31 1012.14 0.0 1 0.0 346795
2131 22.42 0.41 9.14 3.83 7731.41 1012.7 0.0 1 0.0 346915
2132 22.42 0.41 9.25 3.83 7732.66 1013.07 0.0 1 0.0 347049
2133 22.42 0.48 10.82 3.83 7733.96 1013.63 0.0 1 0.0 347169
2134 22.42 0.45 10.03 3.82 7735.16 1014.0 0.0 1 0.0 347289
2135 22.42 0.42 9.36 3.81 7736.31 1014.56 0.0 1 0.0 347412
2136 22.42 0.44 9.98 3.81 7737.5 1014.93 0.0 1 0.0 347532
2137 22.42 0.39 8.74 3.8 7738.55 1015.49 0.0 1 0.0 347652
2138 22.42 0.42 9.36 3.8 7739.85 1016.05 0.0 1 0.0 347791
2139 22.42 0.42 9.36 3.79 7740.97 1016.42 0.0 1 0.0 347911
2140 22.42 0.42 9.42 3.79 7742.1 1016.8 0.0 1 0.0 348031
2141 22.42 0.45 10.14 3.77 7743.32 1017.36 0.0 1 0.0 348151
2142 22.42 0.46 10.37 3.77 7744.56 1017.73 0.0 1 0.0 348271
2143 22.42 0.39 8.8 3.76 7745.62 1018.29 0.0 1 0.0 348391
2144 22.41 0.6 13.5 3.75 7747.28 1018.66 0.0 1 0.0 348513
2145 22.41 0.56 12.49 3.74 7748.78 1019.04 0.0 1 0.0 348633
2146 22.41 0.56 12.49 3.74 7750.28 1019.6 0.0 1 0.0 348753
2147 22.41 0.48 10.76 3.74 7751.57 1019.97 0.0 1 0.0 348873
2148 22.41 0.55 12.27 3.74 7753.04 1020.53 0.0 1 0.0 348994
2149 22.41 0.47 10.53 3.73 7754.3 1020.9 0.0 1 0.0 349114
2150 22.41 0.56 12.55 3.74 7755.81 1021.27 0.0 1 0.0 349234
2151 22.41 0.53 11.99 3.73 7757.25 1021.83 0.0 1 0.0 349354
2152 22.41 0.49 10.98 3.73 7758.6 1022.21 0.0 1 0.0 349477
