pc_time,gps_time,tow(sec),north(meters),east(meters),down(meters),h_accuracy(meters),v_accuracy(meters),distance(meters),num_sats,flags,num_hypothesis
2018-06-02 18:22:36.623000,2018-06-02 22:22:55.400000,598975.400,-38.7480,-90.5030,-1.0230,0.0190,0.0360,98.4543,9,4,0
2018-06-02 18:22:36.700000,2018-06-02 22:22:55.500000,598975.500,-38.7500,-90.5030,-1.0180,0.0190,0.0360,98.4550,9,4,0
2018-06-02 18:22:36.778000,2018-06-02 22:22:55.600000,598975.600,-38.7480,-90.5030,-1.0230,0.0200,0.0370,98.4543,9,4,0
2018-06-02 18:22:36.917000,2018-06-02 22:22:55.700000,598975.700,-38.7500,-90.5020,-1.0210,0.0200,0.0380,98.4541,9,4,0
2018-06-02 18:22:36.986000,2018-06-02 22:22:55.800000,598975.800,-38.7440,-90.5070,-1.0430,0.0170,0.0320,98.4566,9,4,0
2018-06-02 18:22:37.051000,2018-06-02 22:22:55.900000,598975.900,-38.7440,-90.5050,-1.0430,0.0170,0.0320,98.4548,9,4,0
2018-06-02 18:22:37.119000,2018-06-02 22:22:56.000000,598976.000,-38.7470,-90.5060,-1.0470,0.0170,0.0330,98.4569,9,4,0
2018-06-02 18:22:37.200000,2018-06-02 22:22:56.100000,598976.100,-38.7450,-90.5050,-1.0450,0.0180,0.0340,98.4552,9,4,0
2018-06-02 18:22:37.370000,2018-06-02 22:22:56.200000,598976.200,-38.7460,-90.5040,-1.0500,0.0180,0.0340,98.4547,9,4,0
2018-06-02 18:22:37.432000,2018-06-02 22:22:56.300000,598976.300,-38.7440,-90.5050,-1.0480,0.0180,0.0350,98.4548,9,4,0
2018-06-02 18:22:37.542000,2018-06-02 22:22:56.400000,598976.400,-38.7470,-90.5050,-1.0480,0.0190,0.0360,98.4560,9,4,0
2018-06-02 18:22:37.602000,2018-06-02 22:22:56.500000,598976.500,-38.7480,-90.5060,-1.0430,0.0190,0.0360,98.4573,9,4,0
2018-06-02 18:22:37.757000,2018-06-02 22:22:56.600000,598976.600,-38.7480,-90.5070,-1.0420,0.0200,0.0370,98.4582,9,4,0
2018-06-02 18:22:37.828000,2018-06-02 22:22:56.700000,598976.700,-38.7520,-90.5080,-1.0430,0.0200,0.0380,98.4607,9,4,0
2018-06-02 18:22:37.904000,2018-06-02 22:22:56.800000,598976.800,-38.7550,-90.5090,-1.0430,0.0170,0.0320,98.4628,9,4,0
2018-06-02 18:22:38.002000,2018-06-02 22:22:56.900000,598976.900,-38.7670,-90.5130,-1.0370,0.0170,0.0320,98.4711,9,4,0
2018-06-02 18:22:38.130000,2018-06-02 22:22:57.000000,598977.000,-38.7740,-90.5180,-1.0280,0.0170,0.0330,98.4784,9,4,0
2018-06-02 18:22:38.262000,2018-06-02 22:22:57.100000,598977.100,-38.7830,-90.5220,-1.0420,0.0180,0.0340,98.4857,9,4,0
2018-06-02 18:22:38.343000,2018-06-02 22:22:57.200000,598977.200,-38.7960,-90.5300,-1.0390,0.0180,0.0340,98.4982,9,4,0
2018-06-02 18:22:38.413000,2018-06-02 22:22:57.300000,598977.300,-38.8010,-90.5370,-1.0370,0.0180,0.0350,98.5066,9,4,0
2018-06-02 18:22:38.550000,2018-06-02 22:22:57.400000,598977.400,-38.8170,-90.5450,-1.0360,0.0190,0.0360,98.5202,9,4,0
2018-06-02 18:22:38.621000,2018-06-02 22:22:57.500000,598977.500,-38.8360,-90.5540,-1.0370,0.0190,0.0360,98.5360,9,4,0
2018-06-02 18:22:38.710000,2018-06-02 22:22:57.600000,598977.600,-38.8440,-90.5640,-1.0410,0.0200,0.0370,98.5484,9,4,0
2018-06-02 18:22:38.885000,2018-06-02 22:22:57.700000,598977.700,-38.8620,-90.5760,-1.0390,0.0200,0.0380,98.5665,9,4,0
2018-06-02 18:22:38.958000,2018-06-02 22:22:57.800000,598977.800,-38.8810,-90.5900,-1.0430,0.0170,0.0320,98.5869,9,4,0
2018-06-02 18:22:39.020000,2018-06-02 22:22:57.900000,598977.900,-38.9040,-90.6080,-1.0470,0.0170,0.0320,98.6125,9,4,0
2018-06-02 18:22:39.133000,2018-06-02 22:22:58.000000,598978.000,-38.9360,-90.6280,-1.0450,0.0170,0.0330,98.6435,9,4,0
2018-06-02 18:22:39.208000,2018-06-02 22:22:58.100000,598978.100,-38.9620,-90.6540,-1.0490,0.0180,0.0340,98.6777,9,4,0
2018-06-02 18:22:39.349000,2018-06-02 22:22:58.200000,598978.200,-38.9920,-90.6840,-1.0480,0.0180,0.0340,98.7171,9,4,0
2018-06-02 18:22:39.428000,2018-06-02 22:22:58.300000,598978.300,-39.0190,-90.7150,-1.0490,0.0180,0.0350,98.7562,9,4,0
2018-06-02 18:22:39.538000,2018-06-02 22:22:58.400000,598978.400,-39.0570,-90.7510,-1.0550,0.0190,0.0360,98.8044,9,4,0
2018-06-02 18:22:39.611000,2018-06-02 22:22:58.500000,598978.500,-39.0890,-90.7920,-1.0680,0.0190,0.0360,98.8548,9,4,0
2018-06-02 18:22:39.732000,2018-06-02 22:22:58.600000,598978.600,-39.1320,-90.8400,-1.0780,0.0200,0.0370,98.9160,9,4,0
2018-06-02 18:22:39.835000,2018-06-02 22:22:58.700000,598978.700,-39.1710,-90.8930,-1.0810,0.0200,0.0380,98.9802,9,4,0
2018-06-02 18:22:39.920000,2018-06-02 22:22:58.800000,598978.800,-39.2070,-90.9550,-1.0790,0.0170,0.0320,99.0513,9,4,0
2018-06-02 18:22:40.052000,2018-06-02 22:22:58.900000,598978.900,-39.2530,-91.0200,-1.0860,0.0170,0.0320,99.1293,9,4,0
2018-06-02 18:22:40.113000,2018-06-02 22:22:59.000000,598979.000,-39.3080,-91.0960,-1.0910,0.0170,0.0330,99.2209,9,4,0
2018-06-02 18:22:40.273000,2018-06-02 22:22:59.100000,598979.100,-39.3570,-91.1770,-1.0910,0.0180,0.0340,99.3147,9,4,0
2018-06-02 18:22:40.383000,2018-06-02 22:22:59.200000,598979.200,-39.4140,-91.2650,-1.1010,0.0180,0.0340,99.4182,9,4,0
2018-06-02 18:22:40.475000,2018-06-02 22:22:59.300000,598979.300,-39.4710,-91.3630,-1.1090,0.0180,0.0350,99.5308,9,4,0
2018-06-02 18:22:40.523000,2018-06-02 22:22:59.400000,598979.400,-39.5310,-91.4700,-1.0970,0.0190,0.0360,99.6527,9,4,0
2018-06-02 18:22:40.609000,2018-06-02 22:22:59.500000,598979.500,-39.5850,-91.5830,-1.1050,0.0190,0.0360,99.7779,9,4,0
2018-06-02 18:22:40.738000,2018-06-02 22:22:59.600000,598979.600,-39.6370,-91.7040,-1.1140,0.0200,0.0370,99.9097,9,4,0
2018-06-02 18:22:40.878000,2018-06-02 22:22:59.700000,598979.700,-39.6950,-91.8330,-1.1260,0.0200,0.0380,100.0513,9,4,0
2018-06-02 18:22:40.937000,2018-06-02 22:22:59.800000,598979.800,-39.7490,-91.9700,-1.1430,0.0170,0.0320,100.1987,9,4,0
2018-06-02 18:22:41.018000,2018-06-02 22:22:59.900000,598979.900,-39.7950,-92.1110,-1.1410,0.0170,0.0320,100.3463,9,4,0
2018-06-02 18:22:41.141000,2018-06-02 22:23:0.000000,598980.000,-39.8440,-92.2600,-1.1480,0.0170,0.0330,100.5026,9,4,0
2018-06-02 18:22:41.197000,2018-06-02 22:23:0.100000,598980.100,-39.8870,-92.4190,-1.1570,0.0180,0.0340,100.6657,9,4,0
2018-06-02 18:22:41.349000,2018-06-02 22:23:0.200000,598980.200,-39.9290,-92.5880,-1.1650,0.0180,0.0340,100.8376,9,4,0
