pc_time,gps_time,tow(sec),north(m/s),east(m/s),down(m/s),speed(m/s),flags,num_signals
2018-06-02 18:22:36.606000,2018-06-02 22:22:55.400000,598975.400,0.013000,-0.007000,0.078000,0.014765,6,9
2018-06-02 18:22:36.684000,2018-06-02 22:22:55.500000,598975.500,-0.011000,0.006000,0.075000,0.012530,6,9
2018-06-02 18:22:36.761000,2018-06-02 22:22:55.600000,598975.600,0.013000,-0.008000,-0.080000,0.015264,6,9
2018-06-02 18:22:36.907000,2018-06-02 22:22:55.700000,598975.700,-0.018000,0.005000,0.033000,0.018682,6,9
2018-06-02 18:22:36.973000,2018-06-02 22:22:55.800000,598975.800,0.017000,-0.011000,-0.022000,0.020248,6,9
2018-06-02 18:22:37.037000,2018-06-02 22:22:55.900000,598975.900,-0.007000,0.011000,0.003000,0.013038,6,9
2018-06-02 18:22:37.110000,2018-06-02 22:22:56.000000,598976.000,-0.015000,-0.010000,0.006000,0.018028,6,9
2018-06-02 18:22:37.184000,2018-06-02 22:22:56.100000,598976.100,0.028000,0.010000,0.058000,0.029732,6,9
2018-06-02 18:22:37.351000,2018-06-02 22:22:56.200000,598976.200,0.010000,0.010000,-0.001000,0.014142,6,9
2018-06-02 18:22:37.422000,2018-06-02 22:22:56.300000,598976.300,0.018000,-0.008000,0.029000,0.019698,6,9
2018-06-02 18:22:37.524000,2018-06-02 22:22:56.400000,598976.400,-0.030000,-0.007000,-0.029000,0.030806,6,9
2018-06-02 18:22:37.588000,2018-06-02 22:22:56.500000,598976.500,-0.005000,-0.008000,0.073000,0.009434,6,9
2018-06-02 18:22:37.741000,2018-06-02 22:22:56.600000,598976.600,0.002000,-0.013000,0.017000,0.013153,6,9
2018-06-02 18:22:37.811000,2018-06-02 22:22:56.700000,598976.700,-0.034000,-0.004000,0.002000,0.034234,6,9
2018-06-02 18:22:37.892000,2018-06-02 22:22:56.800000,598976.800,-0.055000,-0.037000,-0.037000,0.066287,6,9
2018-06-02 18:22:37.987000,2018-06-02 22:22:56.900000,598976.900,-0.119000,-0.043000,0.043000,0.126531,6,9
2018-06-02 18:22:38.115000,2018-06-02 22:22:57.000000,598977.000,-0.078000,-0.053000,0.040000,0.094303,6,9
2018-06-02 18:22:38.202000,2018-06-02 22:22:57.100000,598977.100,-0.064000,-0.039000,-0.026000,0.074947,6,9
2018-06-02 18:22:38.328000,2018-06-02 22:22:57.200000,598977.200,-0.124000,-0.075000,0.040000,0.144917,6,9
2018-06-02 18:22:38.409000,2018-06-02 22:22:57.300000,598977.300,-0.047000,-0.068000,0.071000,0.082662,6,9
2018-06-02 18:22:38.539000,2018-06-02 22:22:57.400000,598977.400,-0.157000,-0.088000,-0.003000,0.179981,6,9
2018-06-02 18:22:38.609000,2018-06-02 22:22:57.500000,598977.500,-0.186000,-0.086000,0.000000,0.204919,6,9
2018-06-02 18:22:38.696000,2018-06-02 22:22:57.600000,598977.600,-0.086000,-0.101000,-0.095000,0.132654,6,9
2018-06-02 18:22:38.867000,2018-06-02 22:22:57.700000,598977.700,-0.177000,-0.126000,0.003000,0.217267,6,9
2018-06-02 18:22:38.946000,2018-06-02 22:22:57.800000,598977.800,-0.204000,-0.178000,-0.038000,0.270740,6,9
2018-06-02 18:22:39.008000,2018-06-02 22:22:57.900000,598977.900,-0.214000,-0.177000,0.037000,0.277714,6,9
2018-06-02 18:22:39.120000,2018-06-02 22:22:58.000000,598978.000,-0.292000,-0.202000,0.103000,0.355061,6,9
2018-06-02 18:22:39.197000,2018-06-02 22:22:58.100000,598978.100,-0.240000,-0.256000,0.029000,0.350907,6,9
2018-06-02 18:22:39.333000,2018-06-02 22:22:58.200000,598978.200,-0.325000,-0.310000,-0.111000,0.449138,6,9
2018-06-02 18:22:39.424000,2018-06-02 22:22:58.300000,598978.300,-0.280000,-0.313000,-0.081000,0.419963,6,9
2018-06-02 18:22:39.525000,2018-06-02 22:22:58.400000,598978.400,-0.375000,-0.359000,-0.040000,0.519140,6,9
2018-06-02 18:22:39.596000,2018-06-02 22:22:58.500000,598978.500,-0.314000,-0.405000,-0.096000,0.512466,6,9
2018-06-02 18:22:39.721000,2018-06-02 22:22:58.600000,598978.600,-0.424000,-0.485000,-0.088000,0.644206,6,9
2018-06-02 18:22:39.824000,2018-06-02 22:22:58.700000,598978.700,-0.377000,-0.527000,0.027000,0.647965,6,9
2018-06-02 18:22:39.917000,2018-06-02 22:22:58.800000,598978.800,-0.473000,-0.629000,-0.069000,0.787001,6,9
2018-06-02 18:22:39.995000,2018-06-02 22:22:58.900000,598978.900,-0.453000,-0.647000,-0.066000,0.789821,6,9
2018-06-02 18:22:40.100000,2018-06-02 22:22:59.000000,598979.000,-0.511000,-0.754000,0.116000,0.910844,6,9
2018-06-02 18:22:40.205000,2018-06-02 22:22:59.100000,598979.100,-0.487000,-0.815000,0.005000,0.949418,6,9
2018-06-02 18:22:40.366000,2018-06-02 22:22:59.200000,598979.200,-0.545000,-0.876000,0.011000,1.031698,6,9
2018-06-02 18:22:40.474000,2018-06-02 22:22:59.300000,598979.300,-0.561000,-0.985000,-0.048000,1.133555,6,9
2018-06-02 18:22:40.509000,2018-06-02 22:22:59.400000,598979.400,-0.606000,-1.069000,0.109000,1.228819,6,9
2018-06-02 18:22:40.593000,2018-06-02 22:22:59.500000,598979.500,-0.555000,-1.138000,-0.161000,1.266124,6,9
2018-06-02 18:22:40.724000,2018-06-02 22:22:59.600000,598979.600,-0.519000,-1.206000,-0.111000,1.312934,6,9
2018-06-02 18:22:40.860000,2018-06-02 22:22:59.700000,598979.700,-0.570000,-1.296000,-0.119000,1.415809,6,9
2018-06-02 18:22:40.929000,2018-06-02 22:22:59.800000,598979.800,-0.543000,-1.354000,0.008000,1.458823,6,9
2018-06-02 18:22:41.002000,2018-06-02 22:22:59.900000,598979.900,-0.487000,-1.417000,-0.106000,1.498352,6,9
2018-06-02 18:22:41.128000,2018-06-02 22:23:0.000000,598980.000,-0.478000,-1.487000,-0.020000,1.561939,6,9
2018-06-02 18:22:41.184000,2018-06-02 22:23:0.100000,598980.100,-0.444000,-1.596000,-0.200000,1.656609,6,9
2018-06-02 18:22:41.332000,2018-06-02 22:23:0.200000,598980.200,-0.433000,-1.698000,-0.109000,1.752339,6,9
2018-06-02 18:22:41.422000,2018-06-02 22:23:0.300000,598980.300,-0.342000,-1.704000,-0.178000,1.737982,6,9
2018-06-02 18:22:41.611000,2018-06-02 22:23:0.400000,598980.400,-0.279000,-1.766000,-0.006000,1.787903,6,9
2018-06-02 18:22:41.686000,2018-06-02 22:23:0.500000,598980.500,-0.288000,-1.863000,0.080000,1.885129,6,9
2018-06-02 18:22:41.744000,2018-06-02 22:23:0.600000,598980.600,-0.238000,-1.923000,-0.177000,1.937672,6,9
