pc_time,gps_time,tow(sec),latitude(degrees),longitude(degrees),altitude(meters),h_accuracy(meters),v_accuracy(meters),n_sats,flags
2018-06-07 19:40:59.251000,2018-06-07 23:41:16.900000,430876.900,35.9728215453,-78.9338503119,75.8645,0.0100,0.0310,13,4
2018-06-07 19:40:59.353000,2018-06-07 23:41:17.000000,430877.000,35.9728215910,-78.9338509580,75.8785,0.0100,0.0310,13,4
2018-06-07 19:40:59.413000,2018-06-07 23:41:17.100000,430877.100,35.9728216308,-78.9338515821,75.8692,0.0100,0.0320,13,4
2018-06-07 19:40:59.519000,2018-06-07 23:41:17.200000,430877.200,35.9728216000,-78.9338522625,75.8721,0.0110,0.0320,13,4
2018-06-07 19:40:59.589000,2018-06-07 23:41:17.300000,430877.300,35.9728215387,-78.9338529343,75.8767,0.0110,0.0320,13,4
2018-06-07 19:40:59.706000,2018-06-07 23:41:17.400000,430877.400,35.9728215433,-78.9338535976,75.8850,0.0110,0.0320,13,4
2018-06-07 19:40:59.783000,2018-06-07 23:41:17.500000,430877.500,35.9728215791,-78.9338542704,75.8826,0.0110,0.0330,13,4
2018-06-07 19:40:59.876000,2018-06-07 23:41:17.600000,430877.600,35.9728216241,-78.9338549740,75.8701,0.0080,0.0250,13,4
2018-06-07 19:40:59.924000,2018-06-07 23:41:17.700000,430877.700,35.9728217403,-78.9338556384,75.8687,0.0080,0.0250,13,4
2018-06-07 19:41:0.043000,2018-06-07 23:41:17.800000,430877.800,35.9728218811,-78.9338563542,75.8784,0.0080,0.0260,13,4
2018-06-07 19:41:0.138000,2018-06-07 23:41:17.900000,430877.900,35.9728220001,-78.9338570497,75.8686,0.0090,0.0260,13,4
2018-06-07 19:41:0.219000,2018-06-07 23:41:18.000000,430878.000,35.9728221481,-78.9338578073,75.8669,0.0090,0.0270,13,4
2018-06-07 19:41:0.289000,2018-06-07 23:41:18.100000,430878.100,35.9728222847,-78.9338585441,75.8646,0.0090,0.0280,13,4
2018-06-07 19:41:0.403000,2018-06-07 23:41:18.200000,430878.200,35.9728224072,-78.9338592720,75.8670,0.0090,0.0280,13,4
2018-06-07 19:41:0.474000,2018-06-07 23:41:18.300000,430878.300,35.9728225592,-78.9338599910,75.8659,0.0090,0.0290,13,4
2018-06-07 19:41:0.585000,2018-06-07 23:41:18.400000,430878.400,35.9728226761,-78.9338606904,75.8718,0.0090,0.0290,13,4
2018-06-07 19:41:0.659000,2018-06-07 23:41:18.500000,430878.500,35.9728227787,-78.9338613457,75.8740,0.0100,0.0290,13,4
2018-06-07 19:41:0.741000,2018-06-07 23:41:18.600000,430878.600,35.9728228994,-78.9338619741,75.8722,0.0100,0.0300,13,4
2018-06-07 19:41:0.809000,2018-06-07 23:41:18.700000,430878.700,35.9728230086,-78.9338626175,75.8677,0.0100,0.0300,13,4
2018-06-07 19:41:0.895000,2018-06-07 23:41:18.800000,430878.800,35.9728231073,-78.9338632415,75.8735,0.0100,0.0310,13,4
2018-06-07 19:41:0.990000,2018-06-07 23:41:18.900000,430878.900,35.9728232029,-78.9338638278,75.8721,0.0100,0.0310,13,4
2018-06-07 19:41:1.079000,2018-06-07 23:41:19.000000,430879.000,35.9728232953,-78.9338644009,75.8792,0.0100,0.0310,13,4
2018-06-07 19:41:1.139000,2018-06-07 23:41:19.100000,430879.100,35.9728234041,-78.9338650339,75.8827,0.0110,0.0340,13,4
2018-06-07 19:41:1.244000,2018-06-07 23:41:19.200000,430879.200,35.9728235001,-78.9338656705,75.8822,0.0110,0.0340,13,4
2018-06-07 19:41:1.358000,2018-06-07 23:41:19.300000,430879.300,35.9728236305,-78.9338663543,75.8955,0.0110,0.0340,13,4
2018-06-07 19:41:1.494000,2018-06-07 23:41:19.400000,430879.400,35.9728236934,-78.9338669874,75.8890,0.0110,0.0340,13,4
2018-06-07 19:41:1.572000,2018-06-07 23:41:19.500000,430879.500,35.9728237937,-78.9338675849,75.8945,0.0110,0.0340,13,4
2018-06-07 19:41:1.654000,2018-06-07 23:41:19.600000,430879.600,35.9728239270,-78.9338682864,75.9026,0.0080,0.0250,14,4
2018-06-07 19:41:1.743000,2018-06-07 23:41:19.700000,430879.700,35.9728240310,-78.9338689211,75.8970,0.0080,0.0250,14,4
2018-06-07 19:41:1.848000,2018-06-07 23:41:19.800000,430879.800,35.9728240830,-78.9338695573,75.8998,0.0080,0.0250,13,4
2018-06-07 19:41:1.957000,2018-06-07 23:41:19.900000,430879.900,35.9728241567,-78.9338702346,75.8915,0.0090,0.0260,13,4
2018-06-07 19:41:2.100000,2018-06-07 23:41:20.000000,430880.000,35.9728242759,-78.9338709240,75.8953,0.0090,0.0260,13,4
2018-06-07 19:41:2.189000,2018-06-07 23:41:20.100000,430880.100,35.9728243743,-78.9338715929,75.9018,0.0090,0.0270,13,4
2018-06-07 19:41:2.285000,2018-06-07 23:41:20.200000,430880.200,35.9728244571,-78.9338723212,75.9129,0.0090,0.0270,13,4
