pc_time,gps_time,tow(sec),latitude(degrees),longitude(degrees),altitude(meters),h_accuracy(meters),v_accuracy(meters),n_sats,flags
2018-06-19 10:53:3.852000,2018-06-19 14:53:22.600000,226402.600,35.3260018425,-78.5109116990,35.6432,0.0090,0.0210,16,4
2018-06-19 10:53:3.936000,2018-06-19 14:53:22.700000,226402.700,35.3260018356,-78.5109116831,35.6436,0.0090,0.0210,16,4
2018-06-19 10:53:4.063000,2018-06-19 14:53:22.800000,226402.800,35.3260018395,-78.5109116917,35.6438,0.0090,0.0210,16,4
2018-06-19 10:53:4.135000,2018-06-19 14:53:22.900000,226402.900,35.3260018297,-78.5109116989,35.6468,0.0090,0.0220,16,4
2018-06-19 10:53:4.249000,2018-06-19 14:53:23.000000,226403.000,35.3260018362,-78.5109116972,35.6440,0.0100,0.0220,16,4
2018-06-19 10:53:4.331000,2018-06-19 14:53:23.100000,226403.100,35.3260018354,-78.5109117172,35.6444,0.0100,0.0220,16,4
2018-06-19 10:53:4.442000,2018-06-19 14:53:23.200000,226403.200,35.3260018493,-78.5109116953,35.6426,0.0100,0.0220,16,4
2018-06-19 10:53:4.536000,2018-06-19 14:53:23.300000,226403.300,35.3260018375,-78.5109117066,35.6453,0.0100,0.0230,16,4
2018-06-19 10:53:4.668000,2018-06-19 14:53:23.400000,226403.400,35.3260018359,-78.5109117103,35.6471,0.0100,0.0230,16,4
2018-06-19 10:53:4.749000,2018-06-19 14:53:23.500000,226403.500,35.3260018374,-78.5109117217,35.6440,0.0100,0.0230,16,4
2018-06-19 10:53:4.856000,2018-06-19 14:53:23.600000,226403.600,35.3260018376,-78.5109117103,35.6423,0.0100,0.0230,16,4
2018-06-19 10:53:4.934000,2018-06-19 14:53:23.700000,226403.700,35.3260018442,-78.5109117227,35.6430,0.0100,0.0240,16,4
2018-06-19 10:53:5.048000,2018-06-19 14:53:23.800000,226403.800,35.3260018408,-78.5109117135,35.6432,0.0100,0.0240,16,4
2018-06-19 10:53:5.134000,2018-06-19 14:53:23.900000,226403.900,35.3260018399,-78.5109116779,35.6467,0.0080,0.0190,16,4
2018-06-19 10:53:5.258000,2018-06-19 14:53:24.000000,226404.000,35.3260018456,-78.5109116874,35.6460,0.0080,0.0190,16,4
2018-06-19 10:53:5.328000,2018-06-19 14:53:24.100000,226404.100,35.3260018548,-78.5109116898,35.6443,0.0080,0.0190,16,4
