0.0450 0.3758 0.0070 2.5099 18.8675 0.0199 99.9908
0.0450 0.3758 0.0070 2.5099 18.8675 0.0199 99.9908
0.0440 0.3759 0.0071 2.5133 18.8700 0.0199 99.9905
0.0430 0.3759 0.0073 2.5133 18.8700 0.0199 99.9903
0.0410 0.3759 0.0076 2.5133 18.8700 0.0199 99.9898
0.0440 0.3759 0.0071 2.5166 18.8725 0.0199 99.9905
0.0410 0.3759 0.0076 2.5166 18.8725 0.0199 99.9898
0.0410 0.3759 0.0076 2.5166 18.8725 0.0199 99.9898
0.0410 0.3666 0.0075 2.5194 18.8750 0.0194 99.9901
0.0390 0.3666 0.0078 2.5194 18.8750 0.0194 99.9896
0.0390 0.3760 0.0080 2.5233 18.8775 0.0199 99.9893
0.0380 0.3760 0.0082 2.5233 18.8775 0.0199 99.9890
0.0380 0.3760 0.0082 2.5233 18.8775 0.0199 99.9890
0.0380 0.3761 0.0082 2.5249 18.8787 0.0199 99.9890
0.0370 0.3761 0.0085 2.5249 18.8787 0.0199 99.9888
0.0360 0.3761 0.0087 2.5249 18.8787 0.0199 99.9884
0.0340 0.3761 0.0092 2.5266 18.8800 0.0199 99.9878
0.0330 0.3761 0.0095 2.5266 18.8800 0.0199 99.9874
0.0330 0.3761 0.0095 2.5266 18.8800 0.0199 99.9874
0.0320 0.3667 0.0096 2.5278 18.8813 0.0194 99.9873
0.0330 0.3667 0.0093 2.5278 18.8813 0.0194 99.9877
0.0320 0.3667 0.0096 2.5278 18.8813 0.0194 99.9873
0.0320 0.3667 0.0096 2.5294 18.8825 0.0194 99.9873
0.0320 0.3667 0.0096 2.5294 18.8825 0.0194 99.9873
0.0310 0.3667 0.0099 2.5294 18.8825 0.0194 99.9869
0.0310 0.3667 0.0099 2.5294 18.8825 0.0194 99.9869
0.0290 0.3667 0.0105 2.5294 18.8825 0.0194 99.9860
0.0290 0.3668 0.0105 2.5311 18.8838 0.0194 99.9860
0.0290 0.3668 0.0105 2.5311 18.8838 0.0194 99.9860
0.0280 0.3668 0.0109 2.5311 18.8838 0.0194 99.9855
0.0280 0.3762 0.0112 2.5316 18.8838 0.0199 99.9851
0.0270 0.3762 0.0116 2.5316 18.8838 0.0199 99.9846
0.0260 0.3762 0.0121 2.5316 18.8838 0.0199 99.9840
0.0280 0.3762 0.0112 2.5316 18.8838 0.0199 99.9851
0.1570 0.3762 0.0020 2.5316 18.8838 0.0199 99.9974
0.5140 31.3964 0.0509 -0.8417 14.7750 2.1250 99.9136
0.2410 31.3964 0.1086 -0.8417 14.7750 2.1250 99.8158
0.1790 31.3964 0.1462 -0.8417 14.7750 2.1250 99.7520
0.1260 0.5750 0.0038 1.0507 17.7638 0.0324 99.9946
0.1030 0.5750 0.0047 1.0507 17.7638 0.0324 99.9934
0.0770 0.5750 0.0062 1.0507 17.7638 0.0324 99.9912
0.0720 0.4438 0.0051 1.6077 18.1875 0.0244 99.9929
0.0630 0.4438 0.0059 1.6077 18.1875 0.0244 99.9919
0.0600 0.4438 0.0062 1.6077 18.1875 0.0244 99.9915
0.0560 0.4117 0.0061 1.8524 18.3725 0.0224 99.9916
0.0530 0.4117 0.0065 1.8524 18.3725 0.0224 99.9912
0.0540 0.3958 0.0061 1.9997 18.4837 0.0214 99.9917
0.0520 0.3958 0.0063 1.9997 18.4837 0.0214 99.9914
0.0520 0.3958 0.0063 1.9997 18.4837 0.0214 99.9914
0.0510 0.3882 0.0063 2.1009 18.5600 0.0209 99.9914
0.0510 0.3882 0.0063 2.1009 18.5600 0.0209 99.9914
0.0500 0.3882 0.0065 2.1009 18.5600 0.0209 99.9913
0.0500 0.3801 0.0063 2.1754 18.6162 0.0204 99.9915
0.0480 0.3801 0.0066 2.1754 18.6162 0.0204 99.9911
0.0480 0.3801 0.0066 2.1754 18.6162 0.0204 99.9911
0.0480 0.3717 0.0065 2.2333 18.6600 0.0199 99.9913
0.0480 0.3717 0.0065 2.2333 18.6600 0.0199 99.9913
0.0490 0.3810 0.0065 2.2338 18.6600 0.0204 99.9913
0.0480 0.3817 0.0066 2.2804 18.6950 0.0204 99.9911
0.0500 0.3817 0.0064 2.2804 18.6950 0.0204 99.9915
0.0480 0.3823 0.0066 2.3188 18.7237 0.0204 99.9911
0.0480 0.3823 0.0066 2.3188 18.7237 0.0204 99.9911
0.0480 0.3823 0.0066 2.3188 18.7237 0.0204 99.9911
0.0480 0.3828 0.0066 2.3504 18.7475 0.0204 99.9911
0.0480 0.3828 0.0066 2.3504 18.7475 0.0204 99.9911
0.0480 0.3828 0.0066 2.3504 18.7475 0.0204 99.9911
0.0470 0.3738 0.0066 2.3766 18.7675 0.0199 99.9911
0.0470 0.3738 0.0066 2.3766 18.7675 0.0199 99.9911
0.0470 0.3738 0.0066 2.3766 18.7675 0.0199 99.9911
0.0460 0.3648 0.0066 2.3978 18.7838 0.0194 99.9912
0.0460 0.3648 0.0066 2.3978 18.7838 0.0194 99.9912
0.0470 0.3745 0.0066 2.4183 18.7987 0.0199 99.9911
0.0470 0.3745 0.0066 2.4183 18.7987 0.0199 99.9911
0.0480 0.3745 0.0065 2.4183 18.7987 0.0199 99.9913
0.0470 0.3841 0.0068 2.4354 18.8113 0.0204 99.9909
0.0480 0.3841 0.0067 2.4354 18.8113 0.0204 99.9911
0.0450 0.3841 0.0071 2.4354 18.8113 0.0204 99.9905
