0.0000 44.7256 4294967295.//// 0.3709 13.8575 3.2275 -4294967295.//// 6342
0.0080 0.3738 38.9504 3.7066 18.7650 0.0199 99.9480 12119
0.0070 0.3738 44.5147 3.7066 18.7650 0.0199 99.9405 12169
0.0090 0.3738 34.6225 3.7066 18.7650 0.0199 99.9538 12219
0.0080 0.3738 38.9504 3.7066 18.7650 0.0199 99.9480 12269
0.0100 0.3738 31.1582 3.7049 18.7638 0.0199 99.9584 12319
0.0080 0.3738 38.9478 3.7049 18.7638 0.0199 99.9480 12370
0.0090 0.3738 34.6202 3.7049 18.7638 0.0199 99.9538 12420
0.0080 0.3738 38.9478 3.7049 18.7638 0.0199 99.9480 12470
0.0080 0.3738 38.9478 3.7049 18.7638 0.0199 99.9480 12520
0.0090 0.3738 34.6202 3.7049 18.7638 0.0199 99.9538 12570
0.0090 0.3737 34.6179 3.7033 18.7625 0.0199 99.9538 12620
0.0080 0.3737 38.9452 3.7033 18.7625 0.0199 99.9480 12670
0.0080 0.3737 38.9452 3.7033 18.7625 0.0199 99.9480 12720
0.0070 0.3644 43.3960 3.7028 18.7625 0.0194 99.9420 12770
0.0090 0.3644 33.7525 3.7028 18.7625 0.0194 99.9549 12820
0.0070 0.3737 44.5058 3.7016 18.7612 0.0199 99.9405 12870
0.0080 0.3737 38.9426 3.7016 18.7612 0.0199 99.9480 12920
0.0070 0.3737 44.5058 3.7016 18.7612 0.0199 99.9405 12971
0.0060 0.3737 51.9200 3.6999 18.7600 0.0199 99.9306 13021
0.0070 0.3737 44.5028 3.6999 18.7600 0.0199 99.9405 13071
0.0060 0.3737 51.9200 3.6999 18.7600 0.0199 99.9306 13121
0.0080 0.3737 38.9400 3.6999 18.7600 0.0199 99.9480 13171
0.0080 0.3737 38.9400 3.6999 18.7600 0.0199 99.9480 13221
0.0080 0.3737 38.9400 3.6999 18.7600 0.0199 99.9480 13271
0.0070 0.3737 44.4999 3.6983 18.7588 0.0199 99.9405 13321
0.0070 0.3737 44.4999 3.6983 18.7588 0.0199 99.9405 13371
0.0060 0.3736 51.9131 3.6966 18.7575 0.0199 99.9306 13421
0.0070 0.3736 44.4969 3.6966 18.7575 0.0199 99.9405 13471
0.0080 0.3736 38.9348 3.6966 18.7575 0.0199 99.9480 13521
0.0060 0.3736 51.9096 3.6949 18.7563 0.0199 99.9306 13571
0.0070 0.3736 44.4939 3.6949 18.7563 0.0199 99.9405 13621
0.0080 0.3736 38.9322 3.6949 18.7563 0.0199 99.9480 13672
0.0080 0.3643 37.9564 3.6928 18.7550 0.0194 99.9493 13722
0.0080 0.3643 37.9564 3.6928 18.7550 0.0194 99.9493 13772
0.0070 0.3643 43.3787 3.6928 18.7550 0.0194 99.9420 13822
0.0060 0.3736 51.9027 3.6916 18.7537 0.0199 99.9306 13872
0.0080 0.3736 38.9270 3.6916 18.7537 0.0199 99.9480 13922
0.0070 0.3736 44.4880 3.6916 18.7537 0.0199 99.9405 13972
0.0060 0.3735 51.8992 3.6899 18.7525 0.0199 99.9306 14022
0.0070 0.3735 44.4850 3.6899 18.7525 0.0199 99.9405 14072
0.0070 0.3642 43.3729 3.6894 18.7525 0.0194 99.9420 14122
0.0070 0.3642 43.3729 3.6894 18.7525 0.0194 99.9420 14172
0.0080 0.3642 37.9513 3.6894 18.7525 0.0194 99.9493 14223
0.0080 0.3735 38.9192 3.6866 18.7500 0.0199 99.9480 14273
0.0070 0.3735 44.4791 3.6866 18.7500 0.0199 99.9405 14323
0.0070 0.3735 44.4791 3.6866 18.7500 0.0199 99.9405 14373
0.0070 0.3735 44.4791 3.6866 18.7500 0.0199 99.9405 14423
0.0070 0.3735 44.4791 3.6866 18.7500 0.0199 99.9405 14473
0.0060 0.3735 51.8923 3.6866 18.7500 0.0199 99.9306 14523
0.0070 0.3735 44.4761 3.6849 18.7488 0.0199 99.9405 14573
0.0070 0.3735 44.4761 3.6849 18.7488 0.0199 99.9405 14623
0.0070 0.3735 44.4732 3.6833 18.7475 0.0199 99.9405 14673
0.0070 0.3735 44.4732 3.6833 18.7475 0.0199 99.9405 14723
0.0040 0.3735 77.8281 3.6833 18.7475 0.0199 99.8960 14774
0.0060 0.3734 51.8819 3.6816 18.7463 0.0199 99.9306 14824
0.0070 0.3734 44.4702 3.6816 18.7463 0.0199 99.9405 14874
0.0060 0.3734 51.8819 3.6816 18.7463 0.0199 99.9306 14924
0.0060 0.3734 51.8785 3.6799 18.7450 0.0199 99.9306 14974
0.0060 0.3734 51.8785 3.6799 18.7450 0.0199 99.9306 15024
0.0070 0.3734 44.4673 3.6799 18.7450 0.0199 99.9405 15074
0.0080 0.3640 37.9336 3.6778 18.7437 0.0194 99.9493 15124
0.0060 0.3640 50.5781 3.6778 18.7437 0.0194 99.9324 15174
0.0050 0.3734 62.2458 3.6766 18.7425 0.0199 99.9168 15224
0.0060 0.3734 51.8715 3.6766 18.7425 0.0199 99.9306 15274
0.0060 0.3734 51.8715 3.6766 18.7425 0.0199 99.9306 15324
0.0050 0.3733 62.2417 3.6749 18.7412 0.0199 99.9168 15375
