0.0000 44.1031 4294967295.//// -1.1217 13.7537 3.2066 -4294967295.//// 6342
0.0200 0.3737 0.0156 2.3666 18.7600 0.0199 99.9792 10497
0.0200 0.3738 0.0156 2.3716 18.7638 0.0199 99.9792 10547
0.0180 0.3738 0.0173 2.3716 18.7638 0.0199 99.9769 10597
0.0180 0.3738 0.0173 2.3716 18.7638 0.0199 99.9769 10647
0.0190 0.3738 0.0164 2.3766 18.7675 0.0199 99.9781 10697
0.0170 0.3738 0.0183 2.3766 18.7675 0.0199 99.9755 10747
0.0170 0.3739 0.0183 2.3799 18.7700 0.0199 99.9755 10797
0.0170 0.3739 0.0183 2.3799 18.7700 0.0199 99.9755 10847
0.0170 0.3739 0.0183 2.3799 18.7700 0.0199 99.9755 10897
0.0160 0.3739 0.0195 2.3833 18.7725 0.0199 99.9740 10947
0.0170 0.3739 0.0183 2.3833 18.7725 0.0199 99.9755 10997
0.0160 0.3739 0.0195 2.3833 18.7725 0.0199 99.9740 11047
0.0150 0.3740 0.0208 2.3866 18.7750 0.0199 99.9723 11097
0.0170 0.3740 0.0183 2.3866 18.7750 0.0199 99.9755 11147
0.0160 0.3740 0.0195 2.3866 18.7750 0.0199 99.9740 11197
0.0150 0.3647 0.0203 2.3911 18.7787 0.0194 99.9729 11247
0.0160 0.3647 0.0190 2.3911 18.7787 0.0194 99.9746 11298
0.0130 0.3741 0.0240 2.3949 18.7813 0.0199 99.9680 11348
0.0150 0.3741 0.0208 2.3949 18.7813 0.0199 99.9723 11398
0.0140 0.3741 0.0223 2.3949 18.7813 0.0199 99.9703 11448
0.0140 0.3742 0.0223 2.3983 18.7838 0.0199 99.9703 11498
0.0140 0.3742 0.0223 2.3983 18.7838 0.0199 99.9703 11548
0.0130 0.3742 0.0240 2.3983 18.7838 0.0199 99.9680 11598
0.0150 0.3742 0.0208 2.4016 18.7862 0.0199 99.9723 11648
0.0140 0.3742 0.0223 2.4016 18.7862 0.0199 99.9703 11698
0.0140 0.3742 0.0223 2.4016 18.7862 0.0199 99.9703 11748
0.0140 0.3743 0.0223 2.4049 18.7887 0.0199 99.9703 11798
0.0130 0.3743 0.0240 2.4049 18.7887 0.0199 99.9680 11848
0.0120 0.3649 0.0254 2.4061 18.7900 0.0194 99.9662 11898
0.0130 0.3649 0.0234 2.4061 18.7900 0.0194 99.9688 11948
0.0130 0.3649 0.0234 2.4061 18.7900 0.0194 99.9688 11998
0.0130 0.3743 0.0240 2.4066 18.7900 0.0199 99.9680 12048
0.0130 0.3743 0.0240 2.4066 18.7900 0.0199 99.9680 12098
0.0120 0.3743 0.0260 2.4066 18.7900 0.0199 99.9653 12148
0.0130 0.3743 0.0240 2.4083 18.7913 0.0199 99.9680 12198
0.0140 0.3743 0.0223 2.4083 18.7913 0.0199 99.9703 12248
0.0130 0.3743 0.0240 2.4083 18.7913 0.0199 99.9680 12298
0.0120 0.3650 0.0254 2.4094 18.7925 0.0194 99.9662 12349
0.0110 0.3650 0.0277 2.4094 18.7925 0.0194 99.9631 12399
0.0110 0.3650 0.0277 2.4094 18.7925 0.0194 99.9631 12449
0.0120 0.3650 0.0254 2.4111 18.7938 0.0194 99.9662 12499
0.0120 0.3650 0.0254 2.4111 18.7938 0.0194 99.9662 12549
0.0130 0.3744 0.0240 2.4116 18.7938 0.0199 99.9680 12599
0.0120 0.3744 0.0260 2.4116 18.7938 0.0199 99.9653 12649
0.0130 0.3744 0.0240 2.4116 18.7938 0.0199 99.9680 12699
0.0110 0.3744 0.0284 2.4116 18.7938 0.0199 99.9622 12749
0.0120 0.3744 0.0260 2.4116 18.7938 0.0199 99.9653 12799
0.0130 0.3744 0.0240 2.4116 18.7938 0.0199 99.9680 12849
0.0120 0.3744 0.0260 2.4116 18.7938 0.0199 99.9653 12899
0.0120 0.3744 0.0260 2.4116 18.7938 0.0199 99.9653 12949
0.0120 0.3744 0.0260 2.4116 18.7938 0.0199 99.9653 12999
0.0110 0.3650 0.0277 2.4128 18.7950 0.0194 99.9631 13049
0.0110 0.3650 0.0277 2.4128 18.7950 0.0194 99.9631 13099
0.0120 0.3650 0.0254 2.4128 18.7950 0.0194 99.9662 13149
0.0110 0.3650 0.0277 2.4128 18.7950 0.0194 99.9631 13199
0.0100 0.3650 0.0304 2.4128 18.7950 0.0194 99.9594 13249
0.0110 0.3744 0.0284 2.4116 18.7938 0.0199 99.9622 13299
0.0100 0.3744 0.0312 2.4116 18.7938 0.0199 99.9584 13349
0.0110 0.3744 0.0284 2.4116 18.7938 0.0199 99.9622 13400
0.0100 0.3744 0.0312 2.4116 18.7938 0.0199 99.9584 13450
0.0100 0.3744 0.0312 2.4116 18.7938 0.0199 99.9584 13500
0.0100 0.3744 0.0312 2.4116 18.7938 0.0199 99.9584 13550
0.0100 0.3744 0.0312 2.4116 18.7938 0.0199 99.9584 13600
0.0100 0.3744 0.0312 2.4116 18.7938 0.0199 99.9584 13650
0.0090 0.3650 0.0338 2.4111 18.7938 0.0194 99.9549 13700
